iter	Logloss
0	0.6423387855
1	0.597826258
2	0.5609987606
3	0.5326291175
4	0.5073497443
5	0.4861673977
6	0.4685218218
7	0.4529224727
8	0.4401572669
9	0.4302282795
10	0.4213871628
11	0.4138770957
12	0.4073465871
13	0.401683007
14	0.39734049
15	0.3937498793
16	0.3904839875
17	0.3874342762
18	0.3847040372
19	0.3813600498
20	0.3794062181
21	0.3772559027
22	0.3750180959
23	0.3733067901
24	0.3716015356
25	0.3701277583
26	0.3685778078
27	0.3675683608
28	0.3664429951
29	0.3654750694
30	0.3646825664
31	0.363810667
32	0.3631784971
33	0.36252759
34	0.3617280777
35	0.3610282308
36	0.360491133
37	0.3596988115
38	0.3591345634
39	0.3586317006
40	0.3580459305
41	0.3575828924
42	0.3569486834
43	0.3564875533
44	0.3560455999
45	0.3555996854
46	0.3551456807
47	0.3547079616
48	0.3542671246
49	0.3538257878
50	0.3533872977
51	0.3530555091
52	0.3527671531
53	0.3525057148
54	0.3522580952
55	0.3520419262
56	0.3517461531
57	0.3514202294
58	0.3511779801
59	0.3508884372
60	0.3506956666
61	0.3504203995
62	0.3501934454
63	0.3499140046
64	0.3496321967
65	0.3494138331
66	0.3491583497
67	0.3488756777
68	0.34864728
69	0.3483797962
70	0.348097237
71	0.34786154
72	0.34768512
73	0.347498865
74	0.3473105806
75	0.3470459105
76	0.346767513
77	0.3465694224
78	0.3462777322
79	0.3460219666
80	0.3458535377
81	0.3456085458
82	0.3454367386
83	0.3451296834
84	0.3448805498
85	0.3446665389
86	0.3444098519
87	0.3442029874
88	0.34399658
89	0.3438056615
90	0.3436348867
91	0.3434577617
92	0.3433024952
93	0.3430444368
94	0.3428655895
95	0.3427013112
96	0.3425559324
97	0.3423237019
98	0.3421570312
99	0.3419990179
100	0.3417181729
101	0.3415091685
102	0.3413190001
103	0.3410881496
104	0.340883213
105	0.3407725031
106	0.3406158036
107	0.3403887475
108	0.3401936448
109	0.3400917741
110	0.3399354093
111	0.3397340132
112	0.3395196121
113	0.3393758357
114	0.3391681749
115	0.3389823078
116	0.338779882
117	0.3386549909
118	0.338462154
119	0.3383381062
120	0.3381549342
121	0.3380459754
122	0.3379048779
123	0.3377785863
124	0.3375822501
125	0.3373544504
126	0.3371799232
127	0.3370035907
128	0.3368923008
129	0.3367318977
130	0.3365731904
131	0.3364110273
132	0.3362522529
133	0.3360889607
134	0.3359047796
135	0.3357029375
136	0.3355578258
137	0.3354056941
138	0.3352507678
139	0.3351169217
140	0.3349526404
141	0.334843227
142	0.3346978638
143	0.3345914777
144	0.3344700243
145	0.3343115012
146	0.3341780512
147	0.3340741685
148	0.333947482
149	0.3337983021
150	0.3336646197
151	0.3334857884
152	0.3332780368
153	0.3331317288
154	0.3329890037
155	0.332850492
156	0.3327160858
157	0.3325539109
158	0.3324292091
159	0.3322797705
160	0.3321231545
161	0.3319653221
162	0.3317693522
163	0.3316078495
164	0.3314915733
165	0.3313489069
166	0.3312063045
167	0.3310623821
168	0.330876799
169	0.3307369924
170	0.3305731971
171	0.3304517358
172	0.3302739199
173	0.3301315322
174	0.3299913468
175	0.3298264167
176	0.3296818775
177	0.329504083
178	0.3293675859
179	0.3292279681
180	0.3290256068
181	0.3288797543
182	0.3287438789
183	0.3285351498
184	0.3283761429
185	0.3281762487
186	0.3280058935
187	0.3278523976
188	0.3277108531
189	0.3275376543
190	0.3273471527
191	0.3271809719
192	0.3270460981
193	0.3269353407
194	0.3267676343
195	0.3266111439
196	0.3264736353
197	0.3263086185
198	0.3261828807
199	0.3260658298
200	0.3259338994
201	0.3257897748
202	0.3256496256
203	0.3255320124
204	0.3254161399
205	0.3252634846
206	0.3251002998
207	0.3249425069
208	0.3247629885
209	0.3246136489
210	0.3244848075
211	0.324373492
212	0.3242398772
213	0.324106988
214	0.3239877126
215	0.3238468683
216	0.3237103664
217	0.323609585
218	0.3234918515
219	0.3233575128
220	0.3231961022
221	0.3230674083
222	0.3229339983
223	0.3227939808
224	0.3226321374
225	0.3225064273
226	0.32234763
227	0.3222118653
228	0.3220772095
229	0.3219703871
230	0.3218411472
231	0.3217389297
232	0.3216331494
233	0.3215192145
234	0.3213954925
235	0.3212713017
236	0.3211205819
237	0.3210055861
238	0.3208983434
239	0.3207745606
240	0.3206791711
241	0.3205669022
242	0.3204439138
243	0.3203188981
244	0.3202197413
245	0.3201121572
246	0.3199975776
247	0.3198794328
248	0.3197740502
249	0.3196551349
250	0.3195459397
251	0.3194195223
252	0.3192903124
253	0.3191577529
254	0.3190243153
255	0.3189265331
256	0.3188199712
257	0.3187223296
258	0.3185934308
259	0.3184860074
260	0.3183730935
261	0.3182536546
262	0.3181464613
263	0.3180741446
264	0.317981027
265	0.3178732006
266	0.3177688365
267	0.3176295
268	0.317524724
269	0.3173836156
270	0.3172950992
271	0.3171516559
272	0.3170162894
273	0.3169289883
274	0.316787477
275	0.3166901599
276	0.3165565798
277	0.316449822
278	0.3163536309
279	0.3162542214
280	0.3161630222
281	0.3160557144
282	0.3159766288
283	0.3158671257
284	0.3157472947
285	0.3156207202
286	0.3155212268
287	0.3154240339
288	0.3152964032
289	0.3152134344
290	0.3151040171
291	0.3150119961
292	0.3149294607
293	0.3148553456
294	0.3147707374
295	0.3146663555
296	0.3145742733
297	0.3144489615
298	0.3143398875
299	0.3142327577
300	0.3141223516
301	0.3140121896
302	0.3138917971
303	0.3137840265
304	0.3136777599
305	0.3135698509
306	0.313474173
307	0.3133801625
