iter	Passed	Remaining
402	10918	16174
403	10940	16140
404	10967	16113
405	10990	16080
406	11014	16048
407	11036	16014
408	11059	15981
409	11082	15948
410	11105	15914
411	11134	15890
412	11156	15857
413	11182	15828
414	11205	15795
415	11231	15767
416	11254	15734
417	11282	15709
418	11306	15677
419	11332	15649
420	11356	15618
421	11381	15588
422	11413	15568
423	11436	15536
424	11462	15507
425	11487	15477
426	11516	15454
427	11544	15428
428	11577	15410
429	11603	15381
430	11631	15355
431	11656	15325
432	11685	15301
433	11712	15274
434	11741	15249
435	11766	15220
436	11788	15187
437	11810	15154
438	11835	15124
439	11858	15093
440	11887	15067
441	11916	15044
442	11950	15025
443	11977	14998
444	12000	14966
445	12027	14939
446	12049	14907
447	12077	14881
448	12101	14850
449	12124	14818
450	12147	14787
451	12169	14753
452	12194	14725
453	12222	14699
454	12246	14668
455	12274	14643
456	12299	14613
457	12326	14587
458	12351	14557
459	12380	14533
460	12409	14508
461	12433	14478
462	12462	14454
463	12491	14429
464	12517	14401
465	12543	14373
466	12565	14341
467	12590	14312
468	12618	14286
469	12644	14258
470	12674	14235
471	12698	14205
472	12728	14181
473	12751	14149
474	12779	14124
475	12807	14099
476	12829	14066
477	12853	14037
478	12876	14005
479	12900	13975
480	12923	13944
481	12946	13913
482	12971	13884
483	12993	13852
484	13020	13825
485	13042	13794
486	13070	13767
487	13094	13738
488	13120	13710
489	13143	13680
490	13170	13653
491	13193	13622
492	13219	13594
493	13243	13565
494	13268	13537
495	13292	13507
496	13317	13477
497	13341	13449
498	13366	13420
499	13389	13389
500	13418	13365
501	13442	13335
502	13471	13310
503	13496	13281
504	13527	13259
505	13556	13234
506	13585	13210
507	13610	13181
508	13635	13153
509	13658	13123
510	13684	13095
511	13716	13073
512	13744	13048
513	13771	13020
514	13796	12993
515	13819	12962
516	13846	12935
517	13867	12903
518	13897	12879
519	13919	12849
520	13945	12821
521	13969	12791
522	13992	12761
523	14014	12731
524	14039	12702
525	14063	12672
526	14091	12647
527	14113	12616
528	14141	12591
529	14163	12560
530	14192	12534
531	14214	12504
532	14243	12479
533	14269	12451
534	14296	12425
535	14322	12398
536	14346	12369
537	14372	12342
538	14396	12312
539	14420	12284
540	14445	12255
541	14473	12230
542	14499	12202
543	14528	12178
544	14557	12153
545	14592	12133
546	14620	12108
547	14651	12084
548	14676	12056
549	14700	12027
550	14724	11998
551	14755	11975
552	14782	11949
553	14804	11918
554	14826	11888
555	14851	11859
556	14874	11829
557	14902	11804
558	14926	11775
559	14953	11749
560	14977	11720
561	15002	11692
562	15028	11665
563	15056	11639
564	15079	11610
565	15102	11580
566	15124	11549
567	15146	11519
568	15169	11490
569	15193	11462
570	15218	11434
571	15248	11410
572	15274	11382
573	15304	11358
574	15332	11332
575	15357	11305
576	15387	11280
577	15415	11254
578	15442	11228
579	15469	11201
580	15492	11172
581	15517	11145
582	15541	11116
583	15566	11088
584	15594	11062
585	15621	11036
586	15652	11013
587	15682	10988
588	15707	10960
589	15734	10933
590	15758	10905
591	15784	10878
592	15812	10853
593	15835	10823
594	15857	10793
595	15880	10764
596	15904	10736
597	15927	10707
598	15948	10676
599	15970	10647
600	15997	10620
601	16021	10591
602	16050	10567
603	16077	10541
604	16100	10512
605	16124	10483
606	16149	10455
607	16173	10427
608	16195	10397
609	16218	10369
610	16245	10342
611	16269	10314
612	16295	10287
613	16319	10259
614	16345	10232
615	16369	10204
616	16399	10179
617	16429	10155
618	16453	10127
619	16481	10101
620	16510	10076
621	16540	10051
622	16566	10024
623	16590	9997
624	16616	9969
625	16640	9941
626	16663	9913
627	16692	9887
628	16716	9859
629	16744	9834
630	16772	9808
631	16798	9781
632	16834	9760
633	16861	9733
634	16887	9706
635	16911	9679
636	16941	9654
637	16964	9625
638	16988	9597
639	17010	9568
640	17034	9540
641	17058	9512
642	17086	9486
643	17109	9458
644	17136	9431
645	17160	9403
646	17188	9377
647	17210	9348
648	17239	9323
649	17263	9295
650	17291	9269
651	17315	9242
652	17339	9214
653	17365	9187
654	17389	9159
655	17412	9131
656	17437	9103
657	17460	9075
658	17489	9049
659	17512	9021
660	17541	8996
661	17566	8968
662	17593	8942
663	17623	8917
664	17648	8890
665	17672	8862
666	17702	8837
667	17727	8810
668	17752	8783
669	17776	8755
670	17802	8728
671	17827	8701
672	17851	8673
673	17879	8647
674	17903	8620
675	17933	8595
676	17956	8567
677	17983	8541
678	18007	8512
679	18035	8487
680	18057	8458
681	18082	8431
682	18104	8402
683	18129	8375
684	18152	8347
685	18177	8320
686	18201	8292
687	18226	8265
688	18253	8239
689	18280	8212
690	18305	8185
691	18333	8159
692	18356	8132
693	18384	8106
694	18419	8083
695	18442	8055
696	18465	8027
697	18488	7999
698	18514	7972
699	18536	7944
700	18566	7919
701	18596	7894
702	18622	7867
703	18648	7840
704	18680	7816
705	18704	7789
706	18731	7763
707	18753	7734
708	18780	7708
709	18803	7680
710	18828	7653
711	18850	7625
712	18875	7597
713	18897	7569
714	18920	7541
715	18949	7516
716	18976	7490
717	19000	7462
718	19029	7436
719	19051	7409
720	19077	7382
721	19100	7354
722	19133	7330
723	19157	7303
724	19181	7275
725	19204	7248
726	19230	7221
727	19254	7193
728	19277	7166
729	19301	7139
730	19325	7111
731	19349	7084
732	19382	7060
733	19412	7035
734	19439	7008
735	19467	6982
736	19494	6956
737	19521	6930
738	19545	6903
739	19570	6875
740	19593	6848
741	19616	6820
742	19641	6793
743	19672	6769
744	19696	6741
745	19724	6715
746	19748	6688
747	19774	6661
748	19797	6634
749	19824	6608
750	19851	6581
751	19876	6554
752	19898	6527
753	19924	6500
754	19955	6475
755	19990	6451
756	20020	6426
757	20044	6399
758	20070	6372
759	20094	6345
760	20120	6319
761	20143	6291
762	20170	6265
763	20192	6237
764	20224	6212
765	20255	6187
766	20279	6160
767	20304	6133
768	20326	6105
769	20354	6079
770	20377	6052
771	20403	6025
772	20425	5998
773	20453	5972
774	20476	5944
775	20505	5919
776	20534	5893
777	20563	5867
778	20592	5842
779	20620	5815
780	20643	5788
781	20667	5761
782	20692	5734
783	20717	5707
784	20742	5681
785	20766	5653
786	20789	5626
787	20819	5601
788	20841	5573
789	20872	5548
790	20899	5522
791	20922	5494
792	20953	5469
793	20976	5442
794	21005	5416
795	21032	5390
796	21054	5362
797	21078	5335
798	21099	5307
799	21121	5280
800	21147	5253
801	21170	5226
802	21194	5199
803	21221	5173
804	21250	5147
805	21278	5121
806	21307	5095
807	21335	5069
808	21366	5044
809	21390	5017
810	21420	4991
811	21447	4965
812	21471	4938
813	21497	4912
814	21521	4885
815	21549	4859
816	21580	4833
817	21610	4808
818	21636	4781
819	21669	4756
820	21698	4730
821	21725	4704
822	21752	4678
823	21778	4651
824	21808	4626
825	21832	4599
826	21857	4572
827	21883	4545
828	21907	4518
829	21934	4492
830	21962	4466
831	21985	4439
832	22012	4413
833	22037	4386
834	22065	4360
835	22092	4333
836	22116	4306
837	22141	4280
838	22164	4253
839	22189	4226
840	22214	4199
841	22241	4173
842	22265	4146
843	22290	4120
844	22317	4093
845	22346	4067
846	22370	4040
847	22396	4014
848	22423	3988
849	22450	3961
850	22475	3935
851	22504	3909
852	22529	3882
853	22554	3855
854	22580	3829
855	22605	3802
856	22628	3775
857	22657	3749
858	22680	3722
859	22707	3696
860	22730	3669
861	22757	3643
862	22781	3616
863	22807	3590
864	22831	3563
865	22858	3537
866	22882	3510
867	22910	3484
868	22937	3457
869	22961	3431
870	22985	3404
871	23008	3377
872	23032	3350
873	23056	3323
874	23081	3297
875	23106	3270
876	23128	3243
877	23154	3217
878	23177	3190
879	23205	3164
880	23231	3137
881	23257	3111
882	23284	3085
883	23308	3058
884	23337	3032
885	23362	3005
886	23386	2979
887	23409	2952
888	23438	2926
889	23463	2899
890	23492	2873
891	23519	2847
892	23548	2821
893	23573	2795
894	23605	2769
895	23630	2742
896	23656	2716
897	23681	2689
898	23704	2663
899	23728	2636
900	23751	2609
901	23773	2582
902	23797	2556
903	23819	2529
904	23847	2503
905	23870	2476
906	23901	2450
907	23923	2423
908	23952	2397
909	23976	2371
910	23999	2344
911	24023	2318
912	24047	2291
913	24069	2264
914	24092	2238
915	24116	2211
916	24140	2184
917	24164	2158
918	24193	2132
919	24220	2106
920	24253	2080
921	24283	2054
922	24307	2027
923	24333	2001
924	24359	1975
925	24391	1949
926	24416	1922
927	24441	1896
928	24465	1869
929	24489	1843
930	24513	1816
931	24539	1790
932	24565	1764
933	24594	1737
934	24618	1711
935	24648	1685
936	24674	1658
937	24698	1632
938	24728	1606
939	24750	1579
940	24775	1553
941	24797	1526
942	24819	1500
943	24841	1473
944	24864	1447
945	24888	1420
946	24912	1394
947	24939	1368
948	24965	1341
949	24993	1315
950	25016	1288
951	25042	1262
952	25066	1236
953	25092	1209
954	25115	1183
955	25140	1157
956	25163	1130
957	25190	1104
958	25216	1078
959	25240	1051
960	25264	1025
961	25289	998
962	25313	972
963	25341	946
964	25365	919
965	25391	893
966	25420	867
967	25446	841
968	25475	815
969	25502	788
970	25527	762
971	25554	736
972	25578	709
973	25604	683
974	25634	657
975	25660	630
976	25693	604
977	25722	578
978	25746	552
979	25774	526
980	25798	499
981	25823	473
982	25846	446
983	25873	420
984	25894	394
985	25939	368
986	25961	341
987	25985	315
988	26007	289
989	26030	262
990	26055	236
991	26079	210
992	26105	184
993	26129	157
994	26157	131
995	26183	105
996	26212	78
997	26240	52
998	26263	26
999	26288	0
